,playerID,Player,H,HR,ER,BB,SO,HBP,R
142,colege01,Gerrit Cole,147.80792609557554,27.912088417717936,72.14732408584938,49.30551593450451,219.3745711113559,3.5549621893594905,76.80106868095453
101,burneco01,Corbin Burnes,135.41979379601767,17.269186980441354,60.85784367020585,49.350046863666265,218.30169957085792,9.652814617839656,66.28282324337735
523,nolaaa01,Aaron Nola,156.90269059977868,21.662719670256394,78.41777348862153,40.375420650337446,207.88169356278962,8.490871519221065,81.78286924229758
598,rodonca01,Carlos Rodon,126.6907539604881,15.196085078358808,57.39759775175616,51.15130061653525,203.5760238674855,6.072444261238383,61.394254410862345
122,ceasedy01,Dylan Cease,132.56967153421516,19.2240129947909,60.59092576372142,71.55960937813234,203.07567337763692,6.406902902807855,68.50966918893593
588,rayro02,Robbie Ray,150.64587900893378,29.78996949868332,72.83939171343512,61.34644538004234,199.16288021526643,6.088275632577388,75.91866453815112
256,gausmke01,Kevin Gausman,158.55891081298935,17.921609635193104,64.27866823805861,41.6116511848089,189.650162314264,3.356817172131346,70.8008456252786
531,ohtansh01,Shohei Ohtani,124.61193280442997,16.59599678071862,54.24614669375938,50.64134369823769,188.27463688082625,6.067263116145842,57.614230265778204
66,biebesh01,Shane Bieber,145.30440574787028,17.888663320086987,59.96186146038612,44.42663873033679,187.8212494447725,4.256877013436341,65.23743062593988
9,alcansa01,Sandy Alcantara,158.42016061391033,18.232520316628985,64.26803481346757,51.294759834667616,185.62102412378908,8.627528966094152,74.25680212670622
164,darviyu01,Yu Darvish,145.6009051214492,23.552051244241124,71.81353307548417,45.105757209028184,182.31339070276098,9.734313062458353,74.5375060480278
504,mortoch02,Charlie Morton,144.35051090451395,22.723955836777844,77.22767076392465,60.49475201516095,181.5692385163893,15.377205810348249,82.31229544853456
790,woodrbr01,Brandon Woodruff,124.56549434794434,18.46497839297687,55.547252215170154,45.08154925339826,179.95605465091037,6.326621096724766,59.75973579531429
509,musgrjo01,Joe Musgrove,144.05975180425435,21.569801545922836,63.59481810802814,49.96161310034374,177.28660754110226,13.365985049778617,69.8670106828831
457,mcclash01,Shane McClanahan,126.32317753976479,18.491431622972453,54.93226510877477,44.04337186473093,176.73669313460718,4.009693584007224,59.668842557303066
244,galleza01,Zac Gallen,127.21162521356167,18.73859772567143,61.22447069369058,53.43630247657302,175.3704087537608,9.015159719106588,65.9053572398572
640,scherma01,Max Scherzer,121.20080354557776,18.405988243425107,50.595205842470385,37.3717945707353,175.29788150682157,9.463030540671621,54.494752273320515
464,mckentr01,Triston McKenzie,125.17571048240674,23.759215272219127,68.2234995062195,53.36282623701267,175.11069959965909,5.265157007624225,70.89238996308868
268,giolilu01,Lucas Giolito,147.84716304007625,23.376167060016414,76.24801386624534,57.04333484800206,174.58731689349693,4.281448881465762,81.04323734952641
434,manoaal01,Alek Manoah,128.00031506937844,16.685922264214952,54.46571576651679,51.80109164380079,170.22768533624853,14.141888164022943,60.375272857951565
348,javiecr01,Cristian Javier,96.33318287246976,18.566261795987646,50.084035102926514,54.4376861177388,169.29282702264473,6.77359793873971,52.915772032787864
567,pivetni01,Nick Pivetta,156.41542554552774,25.25933667286536,84.36117242435202,68.1362458490575,168.898534518213,5.859128335362686,86.73507804490475
736,valdefr01,Framber Valdez,148.75910346743478,14.31314617591048,63.858694735635645,63.8233977825373,168.57126039810035,10.8116085835805,71.21156245018561
670,snellbl01,Blake Snell,115.32047973823296,16.24289545839568,59.447347259619214,60.089471905572346,168.16477835522613,3.6908540331292707,62.93986928133277
772,wheelza01,Zack Wheeler,134.54383582663277,14.677794321865756,56.388687039289564,41.327408008673636,166.52834003904042,7.651355139562863,61.57117756822621
733,uriasju01,Julio Urias,131.78040474777373,20.366475273404376,53.80464468875428,43.5337594683832,165.79344258345532,5.811677683695443,60.80400465514959
261,gilbelo01,Logan Gilbert,149.85959786133998,19.590092702626897,68.99427227110807,46.800469955750785,164.73577447751606,6.70611281627725,73.47495862350824
115,castilu02,Luis Castillo,136.92875111710336,16.05077865319413,63.201215972055415,55.738419036644274,163.5999945565554,7.117378227860515,71.08250642307061
418,lopezpa01,Pablo Lopez,140.50100572451225,18.78594781737417,66.55869548419759,49.56652606771979,163.39224510163436,8.052226952363835,70.92018645886252
762,webblo01,Logan Webb,154.07253777576602,13.019360923413693,63.776509438137666,49.429122165778864,161.9736882379899,8.274599248445117,73.15851478612967
64,berrijo01,Jose Berrios,164.29585192516765,24.061939187563084,82.56427726317004,48.150661535580696,160.10317176440498,10.903128410179125,87.63876973736498
238,friedma01,Max Fried,145.21076036645067,14.772435161547197,57.381974103510146,42.26738689415359,159.9667688513007,6.174016838060039,62.213131915277444
248,garcilu05,Luis Garcia,131.41289633757728,21.053699915524575,64.70891341479965,50.583440273441404,158.8701493659456,3.380302226411694,69.22515404379408
51,bassich01,Chris Bassitt,147.44389715217326,18.67941553972537,66.18444248621377,49.57172225802921,157.53807347524918,11.094141550052242,69.06212763255783
494,montgjo01,Jordan Montgomery,153.72790334338575,20.983527973521287,71.3661888553163,46.43306052543137,157.13251955326427,6.308612238921306,76.4593422292097
491,montafr01,Frankie Montas,140.53091735524785,19.22881520844939,67.44595272359287,50.24063586162285,156.0370544457974,6.34900462698486,74.70867847545233
432,manaese01,Sean Manaea,152.4572803443539,24.84494898557171,78.17295727084775,46.7935807085163,155.82832643044412,5.679884880463098,84.0912868740352
438,marquge01,German Marquez,162.55097674412224,23.83988974454312,86.67438201938145,60.57805983942794,154.93549050667002,4.541706089115804,94.0693243704672
365,kellyme01,Merrill Kelly,162.6678464655442,21.911349883810356,77.16090848665276,55.6000774191748,154.60500334835447,4.2293501719572815,81.05509745342779
148,cortene01,Nestor Cortes,116.63034727562858,18.9304223757725,52.3684970273579,43.342133298864404,153.58688028555977,4.052674892392965,55.55929278199669
693,stridsp01,Spencer Strider,84.83376987297798,9.486738072184613,40.331533700540334,39.43667019832865,151.3026955764904,3.709042872604853,43.83565902933663
399,lauerer01,Eric Lauer,130.32097393352393,23.290070603440274,64.5571295531611,56.82401544658198,150.7820259460916,3.8776811605199812,70.41364392557173
431,mahlety01,Tyler Mahle,121.72442944308874,18.85688686031079,64.0613108320779,51.61353570801846,150.39757802851307,5.900756835045803,67.5846717842839
559,perezma02,Martin Perez,165.9562449008239,17.407370683883066,70.488506938675,62.017852858456585,148.57971432347304,7.967090679038299,79.17335876380862
707,taillja01,Jameson Taillon,153.44205344667012,24.96167376103522,75.89639519842511,43.57940564697119,148.45687142867283,6.200181467610185,79.4228494081575
282,grayjo03,Josiah Gray,127.30008829046655,31.078921136086468,75.70435853635465,60.11880573126975,147.8640050768898,6.817368390844599,78.48876108466966
285,greenhu01,Hunter Greene,103.63946108162543,19.88984878748202,57.53715851901333,45.18782641945306,147.6942299999763,8.116715601823632,60.87516940076592
742,verlaju01,Justin Verlander,114.36980010040476,13.840404579309912,43.348890198688615,35.594519122450485,147.2080310382502,6.021888153222404,50.8888472388851
631,sandopa02,Patrick Sandoval,128.76215896229243,14.196650335146304,56.06793956851294,56.73034417254171,147.1950548444506,5.64631476874299,63.07274365428055
93,brubajt01,JT Brubaker,147.81816236418103,22.13267440468499,77.62824703442672,52.727496133162894,146.73260874982716,9.120165100201403,84.31267458614252
659,singebr01,Brady Singer,139.2661075636535,17.625819445521827,64.08765445524197,46.76562608629682,146.26959885239143,9.872665651443667,70.10464221027209
793,wrighky01,Kyle Wright,133.685138348348,18.145029623266836,61.97423782669564,51.63045042764675,145.90993631006947,8.570713748592881,65.85032050743708
370,kershcl01,Clayton Kershaw,114.06448874459475,15.390248974457265,48.84810557004522,32.282995714983905,144.269901425324,3.8856635172716683,53.86438233396781
788,woodal02,Alex Wood,135.10264114371302,17.61169025056102,71.31721211836216,41.18974884054214,142.2511466053935,12.761814971749393,76.43399249418512
750,wainwad01,Adam Wainwright,169.0399101513659,19.14363058809968,74.26107683625696,53.50443850822923,141.40716410260436,7.705460062152014,77.2222771144643
260,gibsoky01,Kyle Gibson,160.8551331951333,21.689627718822194,83.80938100722283,56.628136344563835,141.09862487631267,8.77453376807753,88.5888007409062
141,cobbal01,Alex Cobb,143.01277346714656,12.582013809561525,64.74019278072537,49.07543940734249,140.87508333464123,4.743027635854056,73.85726327653866
429,lynnla01,Lance Lynn,124.1458866820478,19.694645504175057,56.82360213508457,37.56368911500847,140.46143009454929,7.38071658730334,64.83291460608712
620,ryanjo04,Joe Ryan,110.49030222073387,18.357551762225008,57.27604190355542,44.5513142553075,140.14660780783652,7.759190293455125,60.46455798757701
