,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,PA_flag,AB_flag,Is_Hit,SwungOn,ContactMade_Fair,ContactMade_Foul,BatterTeam,PitcherTeam
6751,FF,2021-03-01,95.1,-2.43,6.05,"Alcantara, Sandy",607043,645261,,called_strike,,,,,4.0,"Brandon Nimmo singles on a ground ball to left fielder Corey Dickerson.  Brandon Nimmo out at 2nd on the throw, left fielder Corey Dickerson to second baseman Isan Diaz to first baseman Jesus Aguilar.",S,L,R,MIA,NYM,S,,,0,0,2021,-1.12,1.43,-0.73,2.35,,,,0,1,Top,,,,,595751,,,6.920692650577919,-138.0785586755767,-7.149917289034356,-15.85157142401805,32.8136298634275,-12.460195840853707,3.5,1.75,,,,94.2,2302.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.45,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,228.0,0.0,,,,0.0,0,0,0,NYM,MIA
6728,SI,2021-03-01,95.4,-2.32,6.02,"Alcantara, Sandy",621512,645261,field_out,hit_into_play,,,,,11.0,"Tomas Nido grounds out, second baseman Isan Diaz to first baseman Jesus Aguilar.",S,R,R,MIA,NYM,X,4.0,ground_ball,1,0,2021,-1.45,0.83,-0.87,2.65,,,,2,2,Top,145.56,131.32,,,595751,,,7.023234778441621,-138.79047287845358,-5.078587697294124,-20.32285061612824,30.51350008733986,-20.5390968674112,3.36,1.68,122.0,75.0,10.0,94.8,2294.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.56,0.297,0.28,0.0,,0.0,0.0,2.0,11,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,219.0,0.013,,1.0,1.0,0.0,1,1,1,NYM,MIA
6729,CU,2021-03-01,79.5,-2.2,6.08,"Alcantara, Sandy",621512,645261,,ball,,,,,11.0,"Tomas Nido grounds out, second baseman Isan Diaz to first baseman Jesus Aguilar.",S,R,R,MIA,NYM,B,,,0,0,2021,0.7,-0.48,-0.88,3.11,,,,2,2,Top,,,,,595751,,,1.5857252521114302,-115.8111560561751,1.1180143053786304,6.021549644267775,21.67958767416607,-36.96068082559039,3.36,1.68,,,,79.1,2418.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.54,,,,,,,,11,1,Curveball,0,0,0,0,0,0,0,0,Strategic,Standard,51.0,0.0,,,,0.0,0,0,0,NYM,MIA
6730,FF,2021-03-01,96.9,-2.23,5.95,"Alcantara, Sandy",500874,645261,field_out,hit_into_play,,,,,8.0,Jose Martinez lines out to second baseman Isan Diaz.,S,R,R,MIA,NYM,X,4.0,line_drive,1,2,2021,-0.84,1.07,-0.23,2.11,,,,1,2,Top,134.64,133.68,,,595751,,,7.2090930106909425,-140.82720652601435,-7.146041547977033,-12.773240602226778,30.34456107852976,-16.457097864831443,3.64,1.82,162.0,84.0,11.0,96.6,2175.0,6.1,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.43,0.537,0.483,0.0,,0.0,0.0,4.0,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,221.0,0.019,,1.0,1.0,0.0,1,1,1,NYM,MIA
6731,CH,2021-03-01,89.2,-2.25,6.0,"Alcantara, Sandy",500874,645261,,foul,,,,,13.0,Jose Martinez lines out to second baseman Isan Diaz.,S,R,R,MIA,NYM,S,,,1,1,2021,-1.42,0.42,-0.22,1.31,,,,1,2,Top,,,,,595751,,,7.921059827329381,-129.63443916923757,-6.3507108454991,-17.61982241318155,26.62119345636889,-26.263102349438142,3.64,1.82,1.0,34.1,23.0,88.8,1785.0,6.1,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.44,,,,,,,,10,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,233.0,0.0,,,,0.0,1,0,1,NYM,MIA
6732,SI,2021-03-01,95.1,-2.29,6.02,"Alcantara, Sandy",500874,645261,,swinging_strike,,,,,7.0,Jose Martinez lines out to second baseman Isan Diaz.,S,R,R,MIA,NYM,S,,,1,0,2021,-1.49,0.64,-0.81,1.72,,,,1,2,Top,,,,,595751,,,7.146805180499404,-138.2119467058846,-6.979294787978759,-20.673196156669466,31.72428752631653,-22.555260789799032,3.64,1.82,,,,94.2,2257.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.63,,,,,,,,10,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,224.0,0.0,,,,0.0,1,0,0,NYM,MIA
6733,FF,2021-03-01,94.8,-2.28,6.02,"Alcantara, Sandy",500874,645261,,ball,,,,,8.0,Jose Martinez lines out to second baseman Isan Diaz.,S,R,R,MIA,NYM,B,,,0,0,2021,-0.84,1.16,0.02,1.77,,,,1,2,Top,,,,,595751,,,7.819226105810602,-137.62522174443555,-7.945787360513099,-12.370737169200234,30.6225160804587,-15.865158021691544,3.64,1.82,,,,93.9,2127.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.58,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,228.0,0.0,,,,0.0,0,0,0,NYM,MIA
6734,SL,2021-03-01,86.9,-2.3,5.95,"Alcantara, Sandy",607680,645261,field_out,hit_into_play,,,,,5.0,"Kevin Pillar grounds out, third baseman Brian Anderson to first baseman Jesus Aguilar.",S,R,R,MIA,NYM,X,5.0,ground_ball,0,1,2021,-0.21,0.39,-0.06,2.26,,,,0,2,Top,97.32,159.4,,,595751,,,5.7409925754890425,-126.43630356052635,-3.42761861437121,-3.419381913103776,26.243609174864456,-27.50467496055396,3.36,1.68,21.0,97.9,-5.0,86.4,2280.0,6.0,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.48,0.26,0.234,0.0,,0.0,0.0,2.0,9,2,Slider,0,0,0,0,0,0,0,0,Infield shift,Standard,139.0,0.027,,1.0,1.0,0.0,1,1,1,NYM,MIA
6735,FF,2021-03-01,93.2,-2.47,6.0,"Alcantara, Sandy",607680,645261,,called_strike,,,,,11.0,"Kevin Pillar grounds out, third baseman Brian Anderson to first baseman Jesus Aguilar.",S,R,R,MIA,NYM,S,,,0,0,2021,-0.76,1.02,-0.93,2.98,,,,0,2,Top,,,,,595751,,,5.595857730233485,-135.71847146186548,-4.248812727541277,-10.574196757178928,28.56663728302317,-18.87413986017695,3.36,1.68,,,,92.8,1987.0,5.9,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.56,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,,,229.0,0.0,,,,0.0,0,0,0,NYM,MIA
6736,FF,2021-03-01,95.8,-2.52,5.92,"Alcantara, Sandy",542340,645261,field_out,hit_into_play,,,,,8.0,Jonathan Villar grounds out to first baseman Jesus Aguilar.,S,L,R,MIA,NYM,X,3.0,ground_ball,0,0,2021,-0.82,0.99,-0.19,1.95,624413.0,,605204.0,2,1,Top,148.66,172.3,,,595751,,,7.973038145130845,-139.14464808923307,-7.068847444006915,-12.475526211649374,31.14425844057582,-17.922575116666412,3.36,1.68,8.0,99.7,-13.0,95.5,2138.0,6.2,641961,645261,595751,542583,656371,605119,500743,572816,516782,621446,54.31,0.2,0.18,0.0,,0.0,0.0,2.0,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shift,Standard,228.0,0.054,,1.0,1.0,0.0,1,1,1,NYM,MIA
